M,N,z_open,final_cpnl,sharpe_ratio,total_signals,max_position
12,68,0.2,12.198255643496765,0.694314044924399,14540,58.0
12,68,0.4,10.387805884190426,0.6222451330195027,12964,52.0
12,68,0.6,11.637941577436697,0.7393236805890143,11255,50.0
12,68,0.8,12.660995118747808,0.8661443869335274,9539,46.0
12,68,1.0,10.552976427422657,0.829607417418989,7806,41.0
12,72,0.2,9.122162778179623,0.5053245569891381,14540,62.0
12,72,0.4,7.501606254588055,0.43750365766745153,12964,56.0
12,72,0.6,8.561167510666593,0.5300298263203685,11255,52.0
12,72,0.8,9.634158495569682,0.6423576689485733,9539,48.0
12,72,1.0,7.29052787216422,0.5574886526277626,7806,44.0
12,76,0.2,9.01039592306342,0.4882996138270058,14540,61.0
12,76,0.4,6.988193462096,0.3991278013021086,12964,55.0
12,76,0.6,7.673676311381546,0.4639859501534125,11255,53.0
12,76,0.8,8.231230314432082,0.5373387656173065,9539,49.0
12,76,1.0,6.278316274930923,0.46975291005595265,7806,44.0
12,80,0.2,8.436900464413284,0.44475804840652194,14540,61.0
12,80,0.4,7.162146654706083,0.39856645190028295,12964,57.0
12,80,0.6,8.353721614277,0.492355727423572,11255,54.0
12,80,0.8,9.079832719530756,0.578380971131629,9539,49.0
12,80,1.0,7.85033967792544,0.573023578246598,7806,44.0
12,84,0.2,11.73623831700046,0.606997730634683,14540,61.0
12,84,0.4,10.476564512292619,0.5708848283849643,12964,57.0
12,84,0.6,10.936255447479049,0.6304317518818964,11255,54.0
12,84,0.8,11.417534986348638,0.7104735494414303,9539,49.0
12,84,1.0,10.280282343806038,0.7323616515675829,7806,47.0
12,88,0.2,13.401691406111324,0.681747945380894,14540,64.0
12,88,0.4,13.085115989754689,0.7010848758700927,12964,59.0
12,88,0.6,13.500931171281865,0.7647312386534384,11255,57.0
12,88,0.8,13.99700005989486,0.8551946911624377,9539,53.0
12,88,1.0,12.194762695764258,0.8513343312711406,7806,51.0
12,92,0.2,13.081970370126681,0.655162613313673,14540,68.0
12,92,0.4,13.704407991105903,0.7210677338155349,12964,63.0
12,92,0.6,14.178102171183367,0.788604512243549,11255,61.0
12,92,0.8,14.583145304375543,0.8754377005626881,9539,53.0
12,92,1.0,13.614154036083002,0.9312954519911901,7806,51.0
12,96,0.2,12.221891946248444,0.6031423556128573,14540,72.0
12,96,0.4,12.349034876072064,0.639108970247882,12964,65.0
12,96,0.6,12.599115252248588,0.6879765078082212,11255,61.0
12,96,0.8,14.068777315940219,0.8291238438097582,9539,52.0
12,96,1.0,13.28736167179135,0.8885158822251343,7806,52.0
12,100,0.2,10.050837739966592,0.49181967098355145,14540,72.0
12,100,0.4,10.483538434918678,0.5365129047508495,12964,65.0
12,100,0.6,11.375304573048721,0.6142996678811399,11255,62.0
12,100,0.8,12.543029813565084,0.7306058879073092,9539,53.0
